IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP3;IP_PROP2;IP_PROP8;IP_PROP1;IP_PROP4;IP_PROP9;IP_PROP6;IP_PROP5;IC_GROUP0;IC_GROUP1;IC_GROUP2
2;Irwin Computers Coffee Lake G1-07;2;Y;;;/upload/iblock/6b3/6b369abc73d610fb1683a6274b6cbf66.jpeg;геймерский, CPU Intel Core i5 9400F 2900 МГц, RAM DDR4 16 ГБ, HDD+SSD 1000+240 ГБ, графика: NVIDIA GeForce GTX 1660 6 ГБ, БП 500 ;text;/upload/iblock/6b3/6b369abc73d610fb1683a6274b6cbf66.jpeg;геймерский, CPU Intel Core i5 9400F 2900 МГц, RAM DDR4 16 ГБ, HDD+SSD 1000+240 ГБ, графика: NVIDIA GeForce GTX 1660 6 ГБ, БП 500 ;text;irwin-computers-coffee-lake-g1-07;500;;Irwin Computers;16 гб;HDD 1000 ГБ + SSD 240 ГБ;Intel Core i5 9400F;;;;;Компьютеры;;
3;Jet Gamer 5R2600D16SD1X166L2W6;3;Y;;;/upload/iblock/a39/a393d0483ab0b1dc25195a3a296f0e47.jpeg;геймерский, CPU AMD Ryzen 5 2600 3400 МГц, RAM DDR4 16 ГБ, SSD 1000 ГБ, графика: NVIDIA GeForce GTX 1660 6 ГБ, БП 600 Вт;text;/upload/iblock/a39/a393d0483ab0b1dc25195a3a296f0e47.jpeg;геймерский, CPU AMD Ryzen 5 2600 3400 МГц, RAM DDR4 16 ГБ, SSD 1000 ГБ, графика: NVIDIA GeForce GTX 1660 6 ГБ, БП 600 Вт;text;jet-gamer-5r2600d16sd1x166l2w6;500;;Jet Gamer;16 гб;SSD 1000 ГБ;AMD Ryzen 5 ;;;;;Компьютеры;;
4;Apple Mac mini 2018 MRTT2;4;Y;;;/upload/iblock/2f2/2f254064a1d18134c4861dea5e380f06.jpeg;домашний/офисный, CPU Intel Core i5 8500B 3000 МГц, RAM DDR4 SO-DIMM 8 ГБ, SSD 256 ГБ, графика: встроенная в процессор;text;/upload/iblock/ffe/ffe1d7b3898c7e1bf09c0a9f02919ecb.jpeg;домашний/офисный, CPU Intel Core i5 8500B 3000 МГц, RAM DDR4 SO-DIMM 8 ГБ, SSD 256 ГБ, графика: встроенная в процессор;text;apple-mac-mini-2018-mrtt2;500;;Apple;8 гб;SSD 256 ГБ;Intel Core i5 8500B;;;;;Компьютеры;;
5;"Apple iPad 10.2"" 32GB MW742";5;Y;;;/upload/iblock/dc3/dc39a56077972e1dd0eb5136e1f9b2b6.jpeg;"10.2"" IPS (2160x1620), iPadOS, Apple A10, ОЗУ 3 ГБ, флэш-память 32 ГБ, цвет темно-серый";text;/upload/iblock/dc3/dc39a56077972e1dd0eb5136e1f9b2b6.jpeg;"10.2"" IPS (2160x1620), iPadOS, Apple A10, ОЗУ 3 ГБ, флэш-память 32 ГБ, цвет темно-серый";text;apple-ipad-10-2-32gb-mw742;500;;Apple;3 гб;32 ГБ;Apple A10  (сопроцессор М10);10.2;;;;Планшеты;;
6;Huawei MediaPad M5 lite BAH2-L09 32GB LTE;6;Y;;;/upload/iblock/9ab/9ab4124843069e7fb0ba070fbce698d7.jpeg;"10.1"" IPS (1920x1200), Android, Huawei HiSilicon Kirin 659, ОЗУ 3 ГБ, флэш-память 32 ГБ, LTE, цвет серый";text;/upload/iblock/9ab/9ab4124843069e7fb0ba070fbce698d7.jpeg;"10.1"" IPS (1920x1200), Android, Huawei HiSilicon Kirin 659, ОЗУ 3 ГБ, флэш-память 32 ГБ, LTE, цвет серый";text;huawei-mediapad-m5-lite-bah2-l09-32gb-lte;500;;Huawei;3 гб;32 ГБ;Huawei HiSilicon Kirin 659;10.1;;;;Планшеты;;
7;Lenovo M10 FHD Plus TB-X606X 64GB LTE ZA5V0083UA;7;Y;;;/upload/iblock/110/11056424bb9dfbe3dbc606444ade9d7b.jpeg;"10.3"" IPS (1920x1200), Android, MediaTek Helio P22T, ОЗУ 4 ГБ, флэш-память 64 ГБ, LTE, цвет серый";text;/upload/iblock/110/11056424bb9dfbe3dbc606444ade9d7b.jpeg;"10.3"" IPS (1920x1200), Android, MediaTek Helio P22T, ОЗУ 4 ГБ, флэш-память 64 ГБ, LTE, цвет серый";text;lenovo-m10-fhd-plus-tb-x606x-64gb-lte-za5v0083ua;500;;Lenovo;4 гб;64 ГБ;MediaTek Helio P22T;"10.3"" IPS (1920x1200)";;;;Планшеты;;
8;Canon PIXMA MG2540S;8;Y;;;/upload/iblock/82d/82d726c0fc59615a6d429c8bf1edf77c.jpeg;МФУ, струйный, цветной, формат A4 (210x297 мм), скорость ч/б печати 8 стр/мин, скорость цветной печати 4 стр/мин, ;text;/upload/iblock/82d/82d726c0fc59615a6d429c8bf1edf77c.jpeg;МФУ, струйный, цветной, формат A4 (210x297 мм), скорость ч/б печати 8 стр/мин, скорость цветной печати 4 стр/мин, ;text;canon-pixma-mg2540s;500;;Canon;;;;;струйный;;Да;Принтеры;;
9;HP LaserJet Pro M28w;9;Y;;;/upload/iblock/619/61965d2b40483aa7df7f6663c2af5b34.jpeg;МФУ, лазерный, черно-белый, формат A4 (210x297 мм), скорость ч/б печати 18 стр/мин, разрешение 600 dpi, Wi-Fi;text;/upload/iblock/619/61965d2b40483aa7df7f6663c2af5b34.jpeg;МФУ, лазерный, черно-белый, формат A4 (210x297 мм), скорость ч/б печати 18 стр/мин, разрешение 600 dpi, Wi-Fi;text;hp-laserjet-pro-m28w;500;;HP LaserJet;;;;;лазерный;;Нет;Принтеры;;
10;HP Laser 107w;10;Y;;;/upload/iblock/ce2/ce20f7a7d1a6abc5afd8b41219abf51e.jpeg;принтер, лазерный, черно-белый, формат A4 (210x297 мм), скорость ч/б печати 20 стр/мин, разрешение 1200 dpi, Wi-Fi;text;/upload/iblock/ce2/ce20f7a7d1a6abc5afd8b41219abf51e.jpeg;принтер, лазерный, черно-белый, формат A4 (210x297 мм), скорость ч/б печати 20 стр/мин, разрешение 1200 dpi, Wi-Fi;text;hp-laser-107w;500;;HP;;;;;лазерный;;Нет;Принтеры;;
